record_code,location_id,location_name,latitude,longitude,timestamp,traffic_density,congestion_index,avg_speed_kmh,aqi,pm25,pm10,co2_ppm,temperature_c,humidity_pct,weather,risk_score,is_anomaly,anomaly_type,anomaly_explanation
URB-10001,LOC-01,Downtown Central,40.7128,-74.006,2026-07-19 20:05:42,131,0.49,27.9,85,38.5,64.7,522.4,22.9,64.6,Clear,45.5,False,None,
URB-10002,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-19 20:18:42,153,0.56,24.0,143,60.4,115.8,534.5,20.6,85.0,Fog,60.4,False,None,
URB-10003,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-19 20:30:42,115,0.52,19.9,91,45.0,86.9,482.2,20.0,88.5,Rain,51.8,False,None,
URB-10004,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-19 20:46:42,115,0.51,29.6,73,31.1,55.3,513.0,22.4,63.4,Clear,43.4,False,None,
URB-10005,LOC-05,North Residential,40.79,-73.96,2026-07-19 20:58:42,71,0.28,38.6,63,31.2,52.2,445.4,21.3,64.8,Clear,27.9,False,None,
URB-10006,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-19 21:18:42,51,0.2,45.3,62,31.6,52.7,457.9,21.4,60.1,Haze,21.4,False,None,
URB-10007,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-19 21:30:42,152,0.56,31.0,91,46.1,84.9,546.9,19.5,87.3,Heavy Rain,47.8,False,None,
URB-10008,LOC-08,University District,40.729,-73.996,2026-07-19 21:43:42,97,0.36,29.1,103,47.4,81.7,498.2,19.9,62.3,Haze,42.9,False,None,
URB-10009,LOC-01,Downtown Central,40.7128,-74.006,2026-07-19 21:56:42,285,0.99,22.3,105,53.0,103.3,524.2,19.9,70.1,Partly Cloudy,60.6,True,Traffic Bottleneck,Sudden vehicular surge of 285 vehicles/min exceeding corridor capacity.
URB-10010,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-19 22:20:42,81,0.35,28.0,107,51.3,101.9,459.6,17.3,84.1,Fog,43.7,False,None,
URB-10011,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-19 22:33:42,60,0.3,13.6,87,42.9,80.2,453.4,17.3,71.7,Clear,30.0,True,Severe Gridlock,Critical speed drop to 13.6 km/h indicating major arterial blockade.
URB-10012,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-19 22:47:42,40,0.15,44.2,57,22.4,46.3,443.3,17.7,65.9,Clear,18.9,False,None,
URB-10013,LOC-05,North Residential,40.79,-73.96,2026-07-19 23:03:42,26,0.1,42.3,41,19.8,41.6,409.0,19.6,64.8,Partly Cloudy,15.0,False,None,
URB-10014,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-19 23:14:42,27,0.11,42.7,35,17.6,30.1,420.0,15.9,88.4,Heavy Rain,14.2,False,None,
URB-10015,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-19 23:26:42,71,0.26,48.9,107,46.3,80.3,473.3,15.6,69.0,Haze,31.6,False,None,
URB-10016,LOC-08,University District,40.729,-73.996,2026-07-19 23:49:42,39,0.17,35.8,64,29.5,59.0,417.7,15.7,90.8,Fog,25.1,False,None,
URB-10017,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 00:05:42,54,0.23,40.0,61,25.3,47.5,428.0,15.3,72.4,Clear,24.9,False,None,
URB-10018,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 00:11:42,83,0.37,22.1,63,31.9,56.0,475.8,17.0,84.6,Heavy Rain,39.8,False,None,
URB-10019,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 00:32:42,60,0.27,34.0,91,39.8,77.1,429.1,16.3,74.8,Partly Cloudy,34.7,False,None,
URB-10020,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 00:48:42,50,0.18,32.1,79,32.1,61.5,458.7,17.2,69.6,Haze,30.0,False,None,
